implementation,revision,contract_version,records,density,locality,operation,relationship,operations,elapsed_ns,ns_per_op,ops_per_sec,workload_digest,result_digest,result_count,base_count,target_count,conflict_count,validated,repetition,peak_rss_bytes
dolt-go,6b2372c7d4de+runner.8f69a849a214,prolly-version-compare-v2,1000000,30,append,merge_convergent,convergent,300000,75958,0.253,3949551067.695,1401bcf5186f3fcc,d886014f8b9c5c5b,1300000,1000000,1300000,0,true,1,748224512
dolt-go,6b2372c7d4de+runner.8f69a849a214,prolly-version-compare-v2,1000000,30,append,merge_conflict,conflict,300000,147111292,490.371,2039272.417,e898afd88a409e9c,d886014f8b9c5c5b,1300000,1000000,1300000,300000,true,1,748224512
rust,fc2dcae8e5d5+src.4dfe4dc7b90d,prolly-version-compare-v2,1000000,30,random,full_diff,compare,300000,45025208,150.084,6662934.239,61e020c3ec1e417a,bac0c6cb54bcadb3,300000,1000000,1000000,0,true,1,1792704512
rust,fc2dcae8e5d5+src.4dfe4dc7b90d,prolly-version-compare-v2,1000000,30,random,range_diff,compare,32699,5050625,154.458,6474248.237,61e020c3ec1e417a,b9dc4143db568235,32699,1000000,1000000,0,true,1,1792704512
rust,fc2dcae8e5d5+src.4dfe4dc7b90d,prolly-version-compare-v2,1000000,30,random,patch_generate,compare,300000,500,0.002,600000000000.000,61e020c3ec1e417a,bac0c6cb54bcadb3,1,1000000,1000000,0,true,1,1792704512
rust,fc2dcae8e5d5+src.4dfe4dc7b90d,prolly-version-compare-v2,1000000,30,random,patch_apply,compare,300000,6541,0.022,45864546705.397,61e020c3ec1e417a,52861eca8735cd56,1000000,1000000,1000000,0,true,1,1792704512
rust,fc2dcae8e5d5+src.4dfe4dc7b90d,prolly-version-compare-v2,1000000,30,random,merge_disjoint,disjoint,600000,729051250,1215.085,822987.410,2f785cac95e1c03e,80e5593019e99ccd,1000000,1000000,1000000,0,true,1,1792704512
rust,fc2dcae8e5d5+src.4dfe4dc7b90d,prolly-version-compare-v2,1000000,30,random,merge_convergent,convergent,300000,292,0.001,1027397260273.973,43ec78708cdd79f4,52861eca8735cd56,1000000,1000000,1000000,0,true,1,1792704512
rust,fc2dcae8e5d5+src.4dfe4dc7b90d,prolly-version-compare-v2,1000000,30,random,merge_conflict,conflict,300000,373993667,1246.646,802152.620,69b9a2d6bd593eae,52861eca8735cd56,1000000,1000000,1000000,300000,true,1,1792704512
dolt-go,6b2372c7d4de+runner.8f69a849a214,prolly-version-compare-v2,1000000,30,random,full_diff,compare,300000,131076125,436.920,2288746.330,61e020c3ec1e417a,bac0c6cb54bcadb3,300000,1000000,1000000,0,true,1,1319370752
dolt-go,6b2372c7d4de+runner.8f69a849a214,prolly-version-compare-v2,1000000,30,random,range_diff,compare,32699,13938500,426.267,2345948.273,61e020c3ec1e417a,b9dc4143db568235,32699,1000000,1000000,0,true,1,1319370752
dolt-go,6b2372c7d4de+runner.8f69a849a214,prolly-version-compare-v2,1000000,30,random,patch_generate,compare,300000,11292,0.038,26567481402.763,61e020c3ec1e417a,bac0c6cb54bcadb3,4,1000000,1000000,0,true,1,1319370752
dolt-go,6b2372c7d4de+runner.8f69a849a214,prolly-version-compare-v2,1000000,30,random,patch_apply,compare,300000,35083,0.117,8551150129.692,61e020c3ec1e417a,52861eca8735cd56,1000000,1000000,1000000,0,true,1,1319370752
dolt-go,6b2372c7d4de+runner.8f69a849a214,prolly-version-compare-v2,1000000,30,random,merge_disjoint,disjoint,600000,521233916,868.723,1151114.656,2f785cac95e1c03e,80e5593019e99ccd,1000000,1000000,1000000,0,true,1,1319370752
dolt-go,6b2372c7d4de+runner.8f69a849a214,prolly-version-compare-v2,1000000,30,random,merge_convergent,convergent,300000,24720500,82.402,12135676.867,43ec78708cdd79f4,52861eca8735cd56,1000000,1000000,1000000,0,true,1,1319370752
dolt-go,6b2372c7d4de+runner.8f69a849a214,prolly-version-compare-v2,1000000,30,random,merge_conflict,conflict,300000,293747000,979.157,1021287.026,69b9a2d6bd593eae,52861eca8735cd56,1000000,1000000,1000000,300000,true,1,1319370752
rust,fc2dcae8e5d5+src.4dfe4dc7b90d,prolly-version-compare-v2,1000000,30,clustered,full_diff,compare,300000,37957917,126.526,7903489.541,0326c5b09478a847,9859f2ba1e7c81aa,300000,1000000,1000000,0,true,1,1109868544
rust,fc2dcae8e5d5+src.4dfe4dc7b90d,prolly-version-compare-v2,1000000,30,clustered,range_diff,compare,33000,4456584,135.048,7404774.599,0326c5b09478a847,d55eb157d861d079,33000,1000000,1000000,0,true,1,1109868544
rust,fc2dcae8e5d5+src.4dfe4dc7b90d,prolly-version-compare-v2,1000000,30,clustered,patch_generate,compare,300000,458,0.002,655021834061.135,0326c5b09478a847,9859f2ba1e7c81aa,1,1000000,1000000,0,true,1,1109868544
rust,fc2dcae8e5d5+src.4dfe4dc7b90d,prolly-version-compare-v2,1000000,30,clustered,patch_apply,compare,300000,2791,0.009,107488355428.162,0326c5b09478a847,f31be0f6a00d4d78,1000000,1000000,1000000,0,true,1,1109868544
rust,fc2dcae8e5d5+src.4dfe4dc7b90d,prolly-version-compare-v2,1000000,30,clustered,merge_disjoint,disjoint,600000,344981542,574.969,1739223.486,2f38772138a30923,8e22fd33ee81d821,1000000,1000000,1000000,0,true,1,1109868544
rust,fc2dcae8e5d5+src.4dfe4dc7b90d,prolly-version-compare-v2,1000000,30,clustered,merge_convergent,convergent,300000,250,0.001,1200000000000.000,46bbdddb8c68f1e0,f31be0f6a00d4d78,1000000,1000000,1000000,0,true,1,1109868544
rust,fc2dcae8e5d5+src.4dfe4dc7b90d,prolly-version-compare-v2,1000000,30,clustered,merge_conflict,conflict,300000,213445000,711.483,1405514.301,317caf623a534d8d,f31be0f6a00d4d78,1000000,1000000,1000000,300000,true,1,1109868544
dolt-go,6b2372c7d4de+runner.8f69a849a214,prolly-version-compare-v2,1000000,30,clustered,full_diff,compare,300000,88314375,294.381,3396955.479,0326c5b09478a847,9859f2ba1e7c81aa,300000,1000000,1000000,0,true,1,720535552
dolt-go,6b2372c7d4de+runner.8f69a849a214,prolly-version-compare-v2,1000000,30,clustered,range_diff,compare,33000,9470958,286.999,3484336.009,0326c5b09478a847,d55eb157d861d079,33000,1000000,1000000,0,true,1,720535552
dolt-go,6b2372c7d4de+runner.8f69a849a214,prolly-version-compare-v2,1000000,30,clustered,patch_generate,compare,300000,15250,0.051,19672131147.541,0326c5b09478a847,9859f2ba1e7c81aa,3,1000000,1000000,0,true,1,720535552
dolt-go,6b2372c7d4de+runner.8f69a849a214,prolly-version-compare-v2,1000000,30,clustered,patch_apply,compare,300000,30334,0.101,9889892529.835,0326c5b09478a847,f31be0f6a00d4d78,1000000,1000000,1000000,0,true,1,720535552
dolt-go,6b2372c7d4de+runner.8f69a849a214,prolly-version-compare-v2,1000000,30,clustered,merge_disjoint,disjoint,600000,98210792,163.685,6109308.232,2f38772138a30923,8e22fd33ee81d821,1000000,1000000,1000000,0,true,1,720535552
dolt-go,6b2372c7d4de+runner.8f69a849a214,prolly-version-compare-v2,1000000,30,clustered,merge_convergent,convergent,300000,336000,1.120,892857142.857,46bbdddb8c68f1e0,f31be0f6a00d4d78,1000000,1000000,1000000,0,true,1,720535552
dolt-go,6b2372c7d4de+runner.8f69a849a214,prolly-version-compare-v2,1000000,30,clustered,merge_conflict,conflict,300000,180831875,602.773,1658999.554,317caf623a534d8d,f31be0f6a00d4d78,1000000,1000000,1000000,300000,true,1,720535552
rust,fc2dcae8e5d5+src.4dfe4dc7b90d,prolly-version-compare-v2,1000000,0,none,full_diff,compare,1,166,166.000,6024096.386,0b31971718e3d385,0010cdf9f9a8266d,0,1000000,1000000,0,true,2,342933504
rust,fc2dcae8e5d5+src.4dfe4dc7b90d,prolly-version-compare-v2,1000000,0,none,range_diff,compare,1,500,500.000,2000000.000,0b31971718e3d385,0010cdf9f9a8266d,0,1000000,1000000,0,true,2,342933504
rust,fc2dcae8e5d5+src.4dfe4dc7b90d,prolly-version-compare-v2,1000000,0,none,patch_generate,compare,1,416,416.000,2403846.154,0b31971718e3d385,0010cdf9f9a8266d,0,1000000,1000000,0,true,2,342933504
rust,fc2dcae8e5d5+src.4dfe4dc7b90d,prolly-version-compare-v2,1000000,0,none,patch_apply,compare,1,458,458.000,2183406.114,0b31971718e3d385,56243da61f51239e,1000000,1000000,1000000,0,true,2,342933504
rust,fc2dcae8e5d5+src.4dfe4dc7b90d,prolly-version-compare-v2,1000000,0,none,merge_noop,noop,1,208,208.000,4807692.308,0b31971718e3d385,56243da61f51239e,1000000,1000000,1000000,0,true,2,342933504
dolt-go,6b2372c7d4de+runner.8f69a849a214,prolly-version-compare-v2,1000000,0,none,full_diff,compare,1,1416,1416.000,706214.689,0b31971718e3d385,0010cdf9f9a8266d,0,1000000,1000000,0,true,2,549437440
dolt-go,6b2372c7d4de+runner.8f69a849a214,prolly-version-compare-v2,1000000,0,none,range_diff,compare,1,2416,2416.000,413907.285,0b31971718e3d385,0010cdf9f9a8266d,0,1000000,1000000,0,true,2,549437440
dolt-go,6b2372c7d4de+runner.8f69a849a214,prolly-version-compare-v2,1000000,0,none,patch_generate,compare,1,2583,2583.000,387146.729,0b31971718e3d385,0010cdf9f9a8266d,0,1000000,1000000,0,true,2,549437440
dolt-go,6b2372c7d4de+runner.8f69a849a214,prolly-version-compare-v2,1000000,0,none,patch_apply,compare,1,625,625.000,1600000.000,0b31971718e3d385,56243da61f51239e,1000000,1000000,1000000,0,true,2,549437440
