suite,target,records,api,pattern,pairs,samples_per_revision_pair,paired_median_latency_change_pct,paired_median_latency_change_ns,paired_median_throughput_change_pct,paired_median_p50_change_pct,paired_median_p50_change_ns,paired_median_p95_change_pct,paired_median_p95_change_ns,status,reasons
local-adapters,sqlite-sync,10000,put,append,5,3,-1.7366925263077042,-282625.0,1.7673865972531728,-1.389352006224297,-1750.0,5.023062408274512,8625.0,pass,
local-adapters,sqlite-sync,10000,put,clustered,5,3,-6.431522141972574,-889375.0,6.8735991962284455,-4.293560145808019,-4417.0,-3.777005789909016,-5708.0,pass,
local-adapters,sqlite-sync,10000,put,random,5,3,-4.213081023732292,-605583.0,4.398388703551618,1.4436504420517364,1499.0,-1.4065116525353614,-2125.0,pass,
local-adapters,sqlite-sync,10000,reopen,append,5,3,-0.5050405357772294,-1791.0,0.5076041424579291,-0.5050405357772294,-1791.0,-0.5050405357772294,-1791.0,pass,
local-adapters,sqlite-sync,10000,reopen,clustered,5,3,-14.070814572247237,-49500.0,16.37489579611767,-14.070814572247237,-49500.0,-14.070814572247237,-49500.0,pass,
local-adapters,sqlite-sync,10000,reopen,random,5,3,-4.605363258720821,-16042.0,4.827696206036256,-4.605363258720821,-16042.0,-4.605363258720821,-16042.0,pass,
local-adapters,turso-async,10000,batch,append,5,3,-2.6941274700807125,-60500.0,2.768720324924194,-2.6941274700807125,-60500.0,-2.6941274700807125,-60500.0,pass,
local-adapters,turso-async,10000,batch,clustered,5,3,-6.048636504850224,-215334.0,6.438050795465543,-6.048636504850224,-215334.0,-6.048636504850224,-215334.0,pass,
local-adapters,turso-async,10000,batch,random,5,3,-1.1390052903246555,-88542.0,1.1521280902236257,-1.1390052903246555,-88542.0,-1.1390052903246555,-88542.0,pass,
local-adapters,turso-async,10000,build,append,5,3,-0.5644072316143139,-26458.0,0.567610868403013,-0.5644072316143139,-26458.0,-0.5644072316143139,-26458.0,pass,
local-adapters,turso-async,10000,build,clustered,5,3,-0.6234922490377681,-31875.0,0.6274040647516355,-0.6234922490377681,-31875.0,-0.6234922490377681,-31875.0,pass,
local-adapters,turso-async,10000,build,random,5,3,-3.0162147306705753,-164625.0,3.1100195999716624,-3.0162147306705753,-164625.0,-3.0162147306705753,-164625.0,pass,
