suite,revision_role,pair,revision,facade,api,records,items_per_sample,samples,median_ns,p95_ns,throughput_items_per_sec,publication_calls,request_allocations,root
foundation,baseline,3,a2f4e7a3066d2259783c8d815b45c0461c77b06b,native_async,delete,10000,1,300,120583,159375,8293.043,300,0,3bc4408758b15ce633f645d50cda57da461b13bb69231b4eb811843afdbe1fff
foundation,baseline,3,a2f4e7a3066d2259783c8d815b45c0461c77b06b,sync_ready,batch,10000,1,300,43209,63333,23143.327,300,0,e3579c9ec3f4a03c84f73692a9475932a6ee7fe69c9e34f9da70eef58f01517f
foundation,baseline,3,a2f4e7a3066d2259783c8d815b45c0461c77b06b,async_over_sync,batch,10000,1,300,329500,411542,3034.901,300,0,e3579c9ec3f4a03c84f73692a9475932a6ee7fe69c9e34f9da70eef58f01517f
foundation,baseline,3,a2f4e7a3066d2259783c8d815b45c0461c77b06b,native_async,batch,10000,1,300,329333,378417,3036.440,300,0,e3579c9ec3f4a03c84f73692a9475932a6ee7fe69c9e34f9da70eef58f01517f
foundation,baseline,3,a2f4e7a3066d2259783c8d815b45c0461c77b06b,sync_ready,build,10000,100,300,53459,62542,1870592.417,300,0,6cbb98e8071c96a42e9f537cc779cf715cbc46058ce7e9384a24e720ba6aca4a
foundation,baseline,3,a2f4e7a3066d2259783c8d815b45c0461c77b06b,async_over_sync,build,10000,100,300,51875,64250,1927710.843,300,0,6cbb98e8071c96a42e9f537cc779cf715cbc46058ce7e9384a24e720ba6aca4a
foundation,baseline,3,a2f4e7a3066d2259783c8d815b45c0461c77b06b,native_async,build,10000,100,300,49125,55375,2035623.410,300,0,6cbb98e8071c96a42e9f537cc779cf715cbc46058ce7e9384a24e720ba6aca4a
foundation,baseline,3,a2f4e7a3066d2259783c8d815b45c0461c77b06b,sync_ready,merge,10000,2,300,59750,73875,33472.803,300,0,e8d1d22489386cad8c25204d0a6c140c5c2cbebd4ebc450f2aca73ca4a3f96ab
foundation,baseline,3,a2f4e7a3066d2259783c8d815b45c0461c77b06b,async_over_sync,merge,10000,2,300,279959,320291,7143.903,300,0,e8d1d22489386cad8c25204d0a6c140c5c2cbebd4ebc450f2aca73ca4a3f96ab
foundation,baseline,3,a2f4e7a3066d2259783c8d815b45c0461c77b06b,native_async,merge,10000,2,300,275375,320958,7262.823,300,0,e8d1d22489386cad8c25204d0a6c140c5c2cbebd4ebc450f2aca73ca4a3f96ab
foundation,baseline,3,a2f4e7a3066d2259783c8d815b45c0461c77b06b,sync_ready,range-delete,10000,100,300,67542,83125,1480560.244,300,0,1f681dd2854cf53aa763f95fe9e2611e5c6d1a02177d082fc0d4f806b69d7e7c
foundation,baseline,3,a2f4e7a3066d2259783c8d815b45c0461c77b06b,async_over_sync,range-delete,10000,100,300,387375,459125,258147.790,300,0,1f681dd2854cf53aa763f95fe9e2611e5c6d1a02177d082fc0d4f806b69d7e7c
foundation,baseline,3,a2f4e7a3066d2259783c8d815b45c0461c77b06b,native_async,range-delete,10000,100,300,391875,446083,255183.413,300,0,1f681dd2854cf53aa763f95fe9e2611e5c6d1a02177d082fc0d4f806b69d7e7c
foundation,baseline,3,a2f4e7a3066d2259783c8d815b45c0461c77b06b,sync_ready,forward,10000,1024,300,77167,91625,13269921.080,307200,0,cefb07b3acd7badf17b69321495dc2f9c9db417d7d2cd61095ffe3c396582527
foundation,baseline,3,a2f4e7a3066d2259783c8d815b45c0461c77b06b,async_over_sync,forward,10000,1024,300,78833,87333,12989484.099,307200,0,cefb07b3acd7badf17b69321495dc2f9c9db417d7d2cd61095ffe3c396582527
foundation,baseline,3,a2f4e7a3066d2259783c8d815b45c0461c77b06b,native_async,forward,10000,1024,300,75917,84708,13488414.980,307200,0,cefb07b3acd7badf17b69321495dc2f9c9db417d7d2cd61095ffe3c396582527
foundation,candidate,3,81357948363fdb51dbc201ae5ba1a7377bb297e0,sync_ready,put,10000,1,300,32625,36875,30651.341,300,0,1bb684eb5258165e7cb93377062996a87f2ee253b0107fda9402eee786a99a58
foundation,candidate,3,81357948363fdb51dbc201ae5ba1a7377bb297e0,async_over_sync,put,10000,1,300,236083,272750,4235.798,300,0,1bb684eb5258165e7cb93377062996a87f2ee253b0107fda9402eee786a99a58
foundation,candidate,3,81357948363fdb51dbc201ae5ba1a7377bb297e0,native_async,put,10000,1,300,242042,280125,4131.514,300,0,1bb684eb5258165e7cb93377062996a87f2ee253b0107fda9402eee786a99a58
foundation,candidate,3,81357948363fdb51dbc201ae5ba1a7377bb297e0,sync_ready,delete,10000,1,300,20208,24750,49485.352,300,0,3bc4408758b15ce633f645d50cda57da461b13bb69231b4eb811843afdbe1fff
foundation,candidate,3,81357948363fdb51dbc201ae5ba1a7377bb297e0,async_over_sync,delete,10000,1,300,105459,128750,9482.358,300,0,3bc4408758b15ce633f645d50cda57da461b13bb69231b4eb811843afdbe1fff
foundation,candidate,3,81357948363fdb51dbc201ae5ba1a7377bb297e0,native_async,delete,10000,1,300,103292,122791,9681.292,300,0,3bc4408758b15ce633f645d50cda57da461b13bb69231b4eb811843afdbe1fff
foundation,candidate,3,81357948363fdb51dbc201ae5ba1a7377bb297e0,sync_ready,batch,10000,1,300,37708,49334,26519.571,300,0,e3579c9ec3f4a03c84f73692a9475932a6ee7fe69c9e34f9da70eef58f01517f
foundation,candidate,3,81357948363fdb51dbc201ae5ba1a7377bb297e0,async_over_sync,batch,10000,1,300,291208,337041,3433.972,300,0,e3579c9ec3f4a03c84f73692a9475932a6ee7fe69c9e34f9da70eef58f01517f
foundation,candidate,3,81357948363fdb51dbc201ae5ba1a7377bb297e0,native_async,batch,10000,1,300,294584,336000,3394.617,300,0,e3579c9ec3f4a03c84f73692a9475932a6ee7fe69c9e34f9da70eef58f01517f
foundation,candidate,3,81357948363fdb51dbc201ae5ba1a7377bb297e0,sync_ready,build,10000,100,300,47042,56958,2125759.959,300,0,6cbb98e8071c96a42e9f537cc779cf715cbc46058ce7e9384a24e720ba6aca4a
foundation,candidate,3,81357948363fdb51dbc201ae5ba1a7377bb297e0,async_over_sync,build,10000,100,300,47167,56542,2120126.360,300,0,6cbb98e8071c96a42e9f537cc779cf715cbc46058ce7e9384a24e720ba6aca4a
foundation,candidate,3,81357948363fdb51dbc201ae5ba1a7377bb297e0,native_async,build,10000,100,300,47167,58584,2120126.360,300,0,6cbb98e8071c96a42e9f537cc779cf715cbc46058ce7e9384a24e720ba6aca4a
foundation,candidate,3,81357948363fdb51dbc201ae5ba1a7377bb297e0,sync_ready,merge,10000,2,300,57709,72416,34656.639,300,0,e8d1d22489386cad8c25204d0a6c140c5c2cbebd4ebc450f2aca73ca4a3f96ab
foundation,candidate,3,81357948363fdb51dbc201ae5ba1a7377bb297e0,async_over_sync,merge,10000,2,300,276125,317125,7243.096,300,0,e8d1d22489386cad8c25204d0a6c140c5c2cbebd4ebc450f2aca73ca4a3f96ab
foundation,candidate,3,81357948363fdb51dbc201ae5ba1a7377bb297e0,native_async,merge,10000,2,300,274541,322541,7284.886,300,0,e8d1d22489386cad8c25204d0a6c140c5c2cbebd4ebc450f2aca73ca4a3f96ab
